Date,VaR
2019-01-02,-0.025609033281739843
2019-01-03,-0.025583131899379215
2019-01-04,-0.025635626726946553
2019-01-07,-0.026339189802052514
2019-01-08,-0.02635420238463576
2019-01-09,-0.02642326008574987
2019-01-10,-0.026499743510233913
2019-01-11,-0.02649412874587067
2019-01-14,-0.026495964953716672
2019-01-15,-0.0265056636718044
2019-01-16,-0.026510533617489365
2019-01-17,-0.026589952780909344
2019-01-18,-0.026563855527546514
2019-01-21,-0.026782324469418133
2019-01-22,-0.026778443897038824
2019-01-23,-0.026775655625773276
2019-01-24,-0.026754425045939875
2019-01-25,-0.02673493376916129
2019-01-28,-0.026762893156475925
2019-01-29,-0.026751317244081
2019-01-30,-0.0267891133254627
2019-01-31,-0.02679529136173081
2019-02-01,-0.02664715592578673
2019-02-04,-0.02644918759286901
2019-02-05,-0.02608169465662131
2019-02-06,-0.02584459863567496
2019-02-07,-0.02560955640755311
2019-02-08,-0.02568806866396539
2019-02-11,-0.025665605880153514
2019-02-12,-0.02572123309213465
2019-02-13,-0.02565613149949648
2019-02-14,-0.02566009119351329
2019-02-15,-0.025564002141658493
2019-02-18,-0.025647341308236087
2019-02-19,-0.025625851465425346
2019-02-20,-0.02562775789825941
2019-02-21,-0.02565666282222618
2019-02-22,-0.02565387989471654
2019-02-25,-0.025649508430887473
2019-02-26,-0.02565604630877042
2019-02-27,-0.025636411530518117
2019-02-28,-0.02549913787859431
2019-03-01,-0.025232007889245803
2019-03-04,-0.02519312232767125
2019-03-05,-0.025187820286756247
2019-03-06,-0.02517207062231531
2019-03-07,-0.025077163081652223
2019-03-08,-0.02510876162507657
2019-03-11,-0.02518741472180925
2019-03-12,-0.02519383111198319
2019-03-13,-0.025194874848409574
2019-03-14,-0.02519515687706158
2019-03-15,-0.02524224558476978
2019-03-18,-0.02524114853492919
2019-03-19,-0.02522489319004853
2019-03-20,-0.025263684129255833
2019-03-21,-0.02513991281936097
2019-03-22,-0.02510715265416795
2019-03-25,-0.025196259151555243
2019-03-26,-0.025143408249188086
2019-03-27,-0.02517912645420949
2019-03-28,-0.025170275073711498
2019-03-29,-0.025154557505049406
2019-04-01,-0.02513766348056007
2019-04-02,-0.02497043585344411
2019-04-03,-0.024981047645400295
2019-04-04,-0.025133718694520135
2019-04-05,-0.025107295860591856
2019-04-08,-0.02507317854009079
2019-04-09,-0.025029891677826193
2019-04-10,-0.02505604724891831
2019-04-11,-0.02505769607864316
2019-04-12,-0.025010399800063258
2019-04-15,-0.02501772879138983
2019-04-16,-0.025024794343874213
2019-04-17,-0.025032385575496342
2019-04-18,-0.0250229822043285
2019-04-23,-0.025022111290131786
2019-04-24,-0.024952836440770353
2019-04-25,-0.024883664358016807
2019-04-26,-0.024890601529190728
2019-04-29,-0.02489787927200086
2019-04-30,-0.024898253995927117
2019-05-01,-0.024863312809145048
2019-05-02,-0.024837290804062682
2019-05-03,-0.02485508850814081
2019-05-06,-0.02482074052296924
2019-05-07,-0.02488559535547296
2019-05-08,-0.024957299679819116
2019-05-09,-0.024957037265702156
2019-05-10,-0.025173989332683982
2019-05-13,-0.025195498859886253
2019-05-14,-0.025394686113714687
2019-05-15,-0.02547136948212673
2019-05-16,-0.02547783369272445
2019-05-17,-0.02553664899344987
2019-05-20,-0.025484582550511416
2019-05-21,-0.025592391551618535
2019-05-22,-0.025629304443346046
2019-05-23,-0.02562566898800753
2019-05-24,-0.025673239484689095
2019-05-27,-0.025683607488175317
2019-05-28,-0.02567931395525243
2019-05-29,-0.025601249535158677
2019-05-31,-0.02576725213191988
