Date,VaR
2019-01-02,-0.02580466475302166
2019-01-03,-0.025781567893647543
2019-01-04,-0.025821597289200936
2019-01-07,-0.0265109616743642
2019-01-08,-0.026524223349667995
2019-01-09,-0.02659272955899889
2019-01-10,-0.026663774392633167
2019-01-11,-0.02665859097971613
2019-01-14,-0.026660849186440346
2019-01-15,-0.026670057259286895
2019-01-16,-0.026675819515623
2019-01-17,-0.026752611004016665
2019-01-18,-0.02672699229303389
2019-01-21,-0.02694027124187195
2019-01-22,-0.02693595515625196
2019-01-23,-0.02693338504928572
2019-01-24,-0.026912859424057547
2019-01-25,-0.026893105417177206
2019-01-28,-0.026915643464823932
2019-01-29,-0.026902807462106444
2019-01-30,-0.026942489455043156
2019-01-31,-0.026949326438218117
2019-02-01,-0.02680161259226685
2019-02-04,-0.026599545506801242
2019-02-05,-0.02621850566280877
2019-02-06,-0.02597662179328228
2019-02-07,-0.02574496104392203
2019-02-08,-0.025814445451993073
2019-02-11,-0.02579010394556875
2019-02-12,-0.025842929231155772
2019-02-13,-0.025778180734390886
2019-02-14,-0.025780607898711366
2019-02-15,-0.025682044835598713
2019-02-18,-0.025762125811290962
2019-02-19,-0.025741866637192898
2019-02-20,-0.025744910084753915
2019-02-21,-0.025773409231693228
2019-02-22,-0.025769879781637507
2019-02-25,-0.025765979452977605
2019-02-26,-0.025771040256788023
2019-02-27,-0.02575027828099832
2019-02-28,-0.025614440729663603
2019-03-01,-0.025346975543896297
2019-03-04,-0.02530471864168189
2019-03-05,-0.025300467609629257
2019-03-06,-0.025284488178812504
2019-03-07,-0.025185789408190502
2019-03-08,-0.02521011264606176
2019-03-11,-0.025282846815415635
2019-03-12,-0.025285125617648316
2019-03-13,-0.02528740244351056
2019-03-14,-0.025287783201146923
2019-03-15,-0.02533838026784034
2019-03-18,-0.025339612440330013
2019-03-19,-0.025324268731881424
2019-03-20,-0.025359297953871922
2019-03-21,-0.0252381597157004
2019-03-22,-0.025203620951412476
2019-03-25,-0.02528714354788461
2019-03-26,-0.025231520924301844
2019-03-27,-0.025265284175693133
2019-03-28,-0.02525566092021566
2019-03-29,-0.02523894083351548
2019-04-01,-0.02522404011221573
2019-04-02,-0.025050615383706135
2019-04-03,-0.025061148334206827
2019-04-04,-0.02520864062672525
2019-04-05,-0.025186069455442574
2019-04-08,-0.0251504629974063
2019-04-09,-0.025110274884178795
2019-04-10,-0.02513582299371518
2019-04-11,-0.025158220504462987
2019-04-12,-0.025110571480704887
2019-04-15,-0.025115889898708336
2019-04-16,-0.02512095439150777
2019-04-17,-0.0251283393166247
2019-04-18,-0.025118104558499797
2019-04-23,-0.02511781092329197
2019-04-24,-0.02505203935203414
2019-04-25,-0.024976009500333733
2019-04-26,-0.024982366391867242
2019-04-29,-0.024990679722762733
2019-04-30,-0.024990223785812414
2019-05-01,-0.02495649259989182
2019-05-02,-0.024931783781592873
2019-05-03,-0.024948880771954042
2019-05-06,-0.02491454660135101
2019-05-07,-0.024977516619419247
2019-05-08,-0.02504440877960033
2019-05-09,-0.02504402747156629
2019-05-10,-0.02525517744154966
2019-05-13,-0.025278411920151463
2019-05-14,-0.0254686591866439
2019-05-15,-0.025538646862403768
2019-05-16,-0.025545444142509876
2019-05-17,-0.025608769529588144
2019-05-20,-0.025557761449939494
2019-05-21,-0.02566031883415913
2019-05-22,-0.025696008525358856
2019-05-23,-0.025691480502024404
